course_key,course_name,instructor,difficulty_level,certification_offered,study_material_available,course_duration_hours,course_price,feedback_score,enrollment_numbers,course_text
Python for Beginners | Emma Harris | Beginner,Python for Beginners,Emma Harris,Beginner,Yes,Yes,39.1,317.5,0.797,21600,"Course: Python for Beginners, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 39.1 hours, Price: 317.5, Feedback Score: 0.797"
Project Management Fundamentals | Charlotte King | Intermediate,Project Management Fundamentals,Charlotte King,Intermediate,Yes,Yes,88.0,238.58,0.601,45752,"Course: Project Management Fundamentals, Instructor: Charlotte King, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 88.0 hours, Price: 238.58, Feedback Score: 0.601"
Data Visualization with Tableau | Sophia Anderson | Intermediate,Data Visualization with Tableau,Sophia Anderson,Intermediate,No,Yes,18.7,234.97,0.491,8045,"Course: Data Visualization with Tableau, Instructor: Sophia Anderson, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 18.7 hours, Price: 234.97, Feedback Score: 0.491"
Advanced Machine Learning | Daniel White | Beginner,Advanced Machine Learning,Daniel White,Beginner,Yes,No,43.7,488.68,0.837,35165,"Course: Advanced Machine Learning, Instructor: Daniel White, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 43.7 hours, Price: 488.68, Feedback Score: 0.837"
Fitness and Nutrition Coaching | Olivia Taylor | Beginner,Fitness and Nutrition Coaching,Olivia Taylor,Beginner,No,No,34.6,455.89,0.669,42144,"Course: Fitness and Nutrition Coaching, Instructor: Olivia Taylor, Difficulty: Beginner, Certification: No, Study Material: No, Duration: 34.6 hours, Price: 455.89, Feedback Score: 0.669"
DevOps and Continuous Deployment | Liam Adams | Beginner,DevOps and Continuous Deployment,Liam Adams,Beginner,No,Yes,86.6,350.71,0.705,22524,"Course: DevOps and Continuous Deployment, Instructor: Liam Adams, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 86.6 hours, Price: 350.71, Feedback Score: 0.705"
Public Speaking Mastery | Dr. Mia Walker | Beginner,Public Speaking Mastery,Dr. Mia Walker,Beginner,Yes,Yes,16.8,478.05,0.8,35263,"Course: Public Speaking Mastery, Instructor: Dr. Mia Walker, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 16.8 hours, Price: 478.05, Feedback Score: 0.8"
Photography and Video Editing | Michael Brown | Beginner,Photography and Video Editing,Michael Brown,Beginner,Yes,Yes,99.9,410.12,0.862,47013,"Course: Photography and Video Editing, Instructor: Michael Brown, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 99.9 hours, Price: 410.12, Feedback Score: 0.862"
Personal Finance and Wealth Building | James Clark | Beginner,Personal Finance and Wealth Building,James Clark,Beginner,Yes,Yes,10.9,456.44,0.976,11424,"Course: Personal Finance and Wealth Building, Instructor: James Clark, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 10.9 hours, Price: 456.44, Feedback Score: 0.976"
Graphic Design with Canva | Isabella Scott | Beginner,Graphic Design with Canva,Isabella Scott,Beginner,Yes,Yes,86.0,200.38,0.626,17671,"Course: Graphic Design with Canva, Instructor: Isabella Scott, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 86.0 hours, Price: 200.38, Feedback Score: 0.626"
Mobile App Development with Swift | William Thomas | Intermediate,Mobile App Development with Swift,William Thomas,Intermediate,Yes,Yes,37.1,165.52,0.739,11760,"Course: Mobile App Development with Swift, Instructor: William Thomas, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 37.1 hours, Price: 165.52, Feedback Score: 0.739"
Personal Finance and Wealth Building | Sarah Lee | Intermediate,Personal Finance and Wealth Building,Sarah Lee,Intermediate,Yes,Yes,69.4,372.54,0.968,18205,"Course: Personal Finance and Wealth Building, Instructor: Sarah Lee, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 69.4 hours, Price: 372.54, Feedback Score: 0.968"
DevOps and Continuous Deployment | William Thomas | Beginner,DevOps and Continuous Deployment,William Thomas,Beginner,Yes,Yes,16.9,499.06,0.677,19436,"Course: DevOps and Continuous Deployment, Instructor: William Thomas, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 16.9 hours, Price: 499.06, Feedback Score: 0.677"
Ethical Hacking Masterclass | Olivia Taylor | Advanced,Ethical Hacking Masterclass,Olivia Taylor,Advanced,Yes,Yes,32.2,106.66,0.863,20222,"Course: Ethical Hacking Masterclass, Instructor: Olivia Taylor, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 32.2 hours, Price: 106.66, Feedback Score: 0.863"
Graphic Design with Canva | Jessica Martinez | Advanced,Graphic Design with Canva,Jessica Martinez,Advanced,No,Yes,11.0,300.29,0.678,46920,"Course: Graphic Design with Canva, Instructor: Jessica Martinez, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 11.0 hours, Price: 300.29, Feedback Score: 0.678"
Networking and System Administration | Emma Harris | Beginner,Networking and System Administration,Emma Harris,Beginner,Yes,No,6.5,43.44,0.616,3834,"Course: Networking and System Administration, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 6.5 hours, Price: 43.44, Feedback Score: 0.616"
Data Visualization with Tableau | Dr. John Smith | Intermediate,Data Visualization with Tableau,Dr. John Smith,Intermediate,Yes,Yes,80.9,304.65,0.37,47918,"Course: Data Visualization with Tableau, Instructor: Dr. John Smith, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 80.9 hours, Price: 304.65, Feedback Score: 0.37"
Stock Market and Trading Strategies | Emma Harris | Beginner,Stock Market and Trading Strategies,Emma Harris,Beginner,Yes,Yes,53.4,178.06,0.541,28912,"Course: Stock Market and Trading Strategies, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 53.4 hours, Price: 178.06, Feedback Score: 0.541"
Project Management Fundamentals | Prof. Emily Johnson | Beginner,Project Management Fundamentals,Prof. Emily Johnson,Beginner,Yes,Yes,29.3,217.9,0.953,39987,"Course: Project Management Fundamentals, Instructor: Prof. Emily Johnson, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 29.3 hours, Price: 217.9, Feedback Score: 0.953"
Blockchain and Decentralized Applications | Emma Harris | Beginner,Blockchain and Decentralized Applications,Emma Harris,Beginner,No,Yes,38.9,442.29,0.647,31308,"Course: Blockchain and Decentralized Applications, Instructor: Emma Harris, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 38.9 hours, Price: 442.29, Feedback Score: 0.647"
Fundamentals of Digital Marketing | Dr. Robert Davis | Advanced,Fundamentals of Digital Marketing,Dr. Robert Davis,Advanced,Yes,Yes,70.8,418.58,0.691,25733,"Course: Fundamentals of Digital Marketing, Instructor: Dr. Robert Davis, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 70.8 hours, Price: 418.58, Feedback Score: 0.691"
Stock Market and Trading Strategies | Benjamin Lewis | Beginner,Stock Market and Trading Strategies,Benjamin Lewis,Beginner,Yes,Yes,50.8,207.43,0.883,62,"Course: Stock Market and Trading Strategies, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 50.8 hours, Price: 207.43, Feedback Score: 0.883"
Fitness and Nutrition Coaching | Emma Harris | Beginner,Fitness and Nutrition Coaching,Emma Harris,Beginner,Yes,Yes,48.9,359.37,0.624,25657,"Course: Fitness and Nutrition Coaching, Instructor: Emma Harris, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 48.9 hours, Price: 359.37, Feedback Score: 0.624"
AI for Business Leaders | Alexander Young | Intermediate,AI for Business Leaders,Alexander Young,Intermediate,Yes,Yes,40.2,250.42,1.0,33985,"Course: AI for Business Leaders, Instructor: Alexander Young, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 40.2 hours, Price: 250.42, Feedback Score: 1.0"
Cybersecurity for Professionals | Dr. Robert Davis | Advanced,Cybersecurity for Professionals,Dr. Robert Davis,Advanced,Yes,Yes,80.2,31.53,0.56,8054,"Course: Cybersecurity for Professionals, Instructor: Dr. Robert Davis, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 80.2 hours, Price: 31.53, Feedback Score: 0.56"
Public Speaking Mastery | Liam Adams | Beginner,Public Speaking Mastery,Liam Adams,Beginner,Yes,Yes,80.7,170.75,0.863,38609,"Course: Public Speaking Mastery, Instructor: Liam Adams, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 80.7 hours, Price: 170.75, Feedback Score: 0.863"
Stock Market and Trading Strategies | Ethan Hall | Beginner,Stock Market and Trading Strategies,Ethan Hall,Beginner,No,Yes,70.7,33.01,0.934,17467,"Course: Stock Market and Trading Strategies, Instructor: Ethan Hall, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 70.7 hours, Price: 33.01, Feedback Score: 0.934"
Advanced Machine Learning | Benjamin Lewis | Beginner,Advanced Machine Learning,Benjamin Lewis,Beginner,Yes,Yes,87.7,94.23,0.985,26248,"Course: Advanced Machine Learning, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 87.7 hours, Price: 94.23, Feedback Score: 0.985"
AI for Business Leaders | Daniel White | Beginner,AI for Business Leaders,Daniel White,Beginner,Yes,Yes,79.5,487.39,0.611,5112,"Course: AI for Business Leaders, Instructor: Daniel White, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 79.5 hours, Price: 487.39, Feedback Score: 0.611"
Advanced Machine Learning | Liam Adams | Intermediate,Advanced Machine Learning,Liam Adams,Intermediate,No,Yes,24.9,292.79,0.607,41560,"Course: Advanced Machine Learning, Instructor: Liam Adams, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 24.9 hours, Price: 292.79, Feedback Score: 0.607"
DevOps and Continuous Deployment | Michael Brown | Advanced,DevOps and Continuous Deployment,Michael Brown,Advanced,No,Yes,37.8,323.03,0.886,34490,"Course: DevOps and Continuous Deployment, Instructor: Michael Brown, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 37.8 hours, Price: 323.03, Feedback Score: 0.886"
Public Speaking Mastery | Dr. Mia Walker | Intermediate,Public Speaking Mastery,Dr. Mia Walker,Intermediate,No,Yes,73.7,323.04,1.0,60,"Course: Public Speaking Mastery, Instructor: Dr. Mia Walker, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 73.7 hours, Price: 323.04, Feedback Score: 1.0"
Cloud Computing Essentials | Dr. Robert Davis | Beginner,Cloud Computing Essentials,Dr. Robert Davis,Beginner,No,Yes,100.0,487.2,0.561,20610,"Course: Cloud Computing Essentials, Instructor: Dr. Robert Davis, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 100.0 hours, Price: 487.2, Feedback Score: 0.561"
Blockchain and Decentralized Applications | James Clark | Advanced,Blockchain and Decentralized Applications,James Clark,Advanced,Yes,Yes,18.8,288.01,0.476,14288,"Course: Blockchain and Decentralized Applications, Instructor: James Clark, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 18.8 hours, Price: 288.01, Feedback Score: 0.476"
Ethical Hacking Masterclass | Sophia Anderson | Advanced,Ethical Hacking Masterclass,Sophia Anderson,Advanced,Yes,No,72.8,276.37,0.601,32678,"Course: Ethical Hacking Masterclass, Instructor: Sophia Anderson, Difficulty: Advanced, Certification: Yes, Study Material: No, Duration: 72.8 hours, Price: 276.37, Feedback Score: 0.601"
Fitness and Nutrition Coaching | Isabella Scott | Beginner,Fitness and Nutrition Coaching,Isabella Scott,Beginner,Yes,No,51.4,227.87,0.778,2241,"Course: Fitness and Nutrition Coaching, Instructor: Isabella Scott, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 51.4 hours, Price: 227.87, Feedback Score: 0.778"
Blockchain and Decentralized Applications | Benjamin Lewis | Beginner,Blockchain and Decentralized Applications,Benjamin Lewis,Beginner,No,Yes,39.7,390.0,0.826,31942,"Course: Blockchain and Decentralized Applications, Instructor: Benjamin Lewis, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 39.7 hours, Price: 390.0, Feedback Score: 0.826"
Stock Market and Trading Strategies | Dr. Robert Davis | Advanced,Stock Market and Trading Strategies,Dr. Robert Davis,Advanced,No,Yes,13.9,335.85,0.839,41407,"Course: Stock Market and Trading Strategies, Instructor: Dr. Robert Davis, Difficulty: Advanced, Certification: No, Study Material: Yes, Duration: 13.9 hours, Price: 335.85, Feedback Score: 0.839"
Graphic Design with Canva | Charlotte King | Beginner,Graphic Design with Canva,Charlotte King,Beginner,No,No,20.0,176.95,0.872,760,"Course: Graphic Design with Canva, Instructor: Charlotte King, Difficulty: Beginner, Certification: No, Study Material: No, Duration: 20.0 hours, Price: 176.95, Feedback Score: 0.872"
Blockchain and Decentralized Applications | Alexander Young | Intermediate,Blockchain and Decentralized Applications,Alexander Young,Intermediate,Yes,No,21.2,485.44,0.743,35408,"Course: Blockchain and Decentralized Applications, Instructor: Alexander Young, Difficulty: Intermediate, Certification: Yes, Study Material: No, Duration: 21.2 hours, Price: 485.44, Feedback Score: 0.743"
Mobile App Development with Swift | Michael Brown | Advanced,Mobile App Development with Swift,Michael Brown,Advanced,Yes,Yes,62.5,37.01,0.671,38855,"Course: Mobile App Development with Swift, Instructor: Michael Brown, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 62.5 hours, Price: 37.01, Feedback Score: 0.671"
Fundamentals of Digital Marketing | Daniel White | Beginner,Fundamentals of Digital Marketing,Daniel White,Beginner,No,No,86.5,155.56,0.903,25618,"Course: Fundamentals of Digital Marketing, Instructor: Daniel White, Difficulty: Beginner, Certification: No, Study Material: No, Duration: 86.5 hours, Price: 155.56, Feedback Score: 0.903"
AI for Business Leaders | Dr. Mia Walker | Intermediate,AI for Business Leaders,Dr. Mia Walker,Intermediate,Yes,Yes,83.7,495.1,0.742,36609,"Course: AI for Business Leaders, Instructor: Dr. Mia Walker, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 83.7 hours, Price: 495.1, Feedback Score: 0.742"
Project Management Fundamentals | Dr. Mia Walker | Beginner,Project Management Fundamentals,Dr. Mia Walker,Beginner,Yes,No,88.5,405.88,0.513,37433,"Course: Project Management Fundamentals, Instructor: Dr. Mia Walker, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 88.5 hours, Price: 405.88, Feedback Score: 0.513"
Public Speaking Mastery | Michael Brown | Beginner,Public Speaking Mastery,Michael Brown,Beginner,Yes,Yes,56.6,292.0,0.62,12517,"Course: Public Speaking Mastery, Instructor: Michael Brown, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 56.6 hours, Price: 292.0, Feedback Score: 0.62"
Cybersecurity for Professionals | Michael Brown | Beginner,Cybersecurity for Professionals,Michael Brown,Beginner,Yes,Yes,64.9,412.65,0.485,44888,"Course: Cybersecurity for Professionals, Instructor: Michael Brown, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 64.9 hours, Price: 412.65, Feedback Score: 0.485"
Fundamentals of Digital Marketing | Sophia Anderson | Advanced,Fundamentals of Digital Marketing,Sophia Anderson,Advanced,Yes,Yes,18.0,138.91,0.71,597,"Course: Fundamentals of Digital Marketing, Instructor: Sophia Anderson, Difficulty: Advanced, Certification: Yes, Study Material: Yes, Duration: 18.0 hours, Price: 138.91, Feedback Score: 0.71"
Project Management Fundamentals | William Thomas | Intermediate,Project Management Fundamentals,William Thomas,Intermediate,No,Yes,51.3,44.22,0.983,43256,"Course: Project Management Fundamentals, Instructor: William Thomas, Difficulty: Intermediate, Certification: No, Study Material: Yes, Duration: 51.3 hours, Price: 44.22, Feedback Score: 0.983"
Mobile App Development with Swift | William Thomas | Beginner,Mobile App Development with Swift,William Thomas,Beginner,Yes,Yes,47.7,114.6,0.674,4860,"Course: Mobile App Development with Swift, Instructor: William Thomas, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 47.7 hours, Price: 114.6, Feedback Score: 0.674"
Public Speaking Mastery | Dr. John Smith | Beginner,Public Speaking Mastery,Dr. John Smith,Beginner,No,Yes,64.1,135.31,0.602,34007,"Course: Public Speaking Mastery, Instructor: Dr. John Smith, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 64.1 hours, Price: 135.31, Feedback Score: 0.602"
Data Visualization with Tableau | Liam Adams | Beginner,Data Visualization with Tableau,Liam Adams,Beginner,No,Yes,36.7,451.9,0.716,38168,"Course: Data Visualization with Tableau, Instructor: Liam Adams, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 36.7 hours, Price: 451.9, Feedback Score: 0.716"
Networking and System Administration | Ethan Hall | Beginner,Networking and System Administration,Ethan Hall,Beginner,No,Yes,32.9,132.98,0.617,6504,"Course: Networking and System Administration, Instructor: Ethan Hall, Difficulty: Beginner, Certification: No, Study Material: Yes, Duration: 32.9 hours, Price: 132.98, Feedback Score: 0.617"
Game Development with Unity | William Thomas | Beginner,Game Development with Unity,William Thomas,Beginner,Yes,No,40.1,304.46,0.53,8450,"Course: Game Development with Unity, Instructor: William Thomas, Difficulty: Beginner, Certification: Yes, Study Material: No, Duration: 40.1 hours, Price: 304.46, Feedback Score: 0.53"
Cybersecurity for Professionals | Dr. Robert Davis | Beginner,Cybersecurity for Professionals,Dr. Robert Davis,Beginner,Yes,Yes,14.6,266.97,0.745,31469,"Course: Cybersecurity for Professionals, Instructor: Dr. Robert Davis, Difficulty: Beginner, Certification: Yes, Study Material: Yes, Duration: 14.6 hours, Price: 266.97, Feedback Score: 0.745"
Advanced Machine Learning | David Wilson | Intermediate,Advanced Machine Learning,David Wilson,Intermediate,Yes,Yes,11.8,419.65,0.985,38239,"Course: Advanced Machine Learning, Instructor: David Wilson, Difficulty: Intermediate, Certification: Yes, Study Material: Yes, Duration: 11.8 hours, Price: 419.65, Feedback Score: 0.985"
